contentrank,1,694,0.0
contentrank,1,13554,0
contentrank,1,418,0.0017295053614666206
contentrank,1,1677,0.015330771864419675
contentrank,1,3336,0.0
contentrank,1,35774,0.12735631426311628
contentrank,1,2522,0
contentrank,2,694,0.0
contentrank,2,13554,0
contentrank,2,418,0.004688546550569324
contentrank,2,1677,0.025286075515364506
contentrank,2,3336,0.0
contentrank,2,35774,0.1569437770302739
contentrank,2,2522,0
contentrank,3,694,0.0
contentrank,3,13554,0
contentrank,3,418,0.016831238779174147
contentrank,3,1677,0.02415541502877001
contentrank,3,3336,0
contentrank,3,35774,0.21877289377289377
contentrank,3,2522,0
contentrank,4,694,0.0
contentrank,4,13554,0
contentrank,4,418,0.022633564347749803
contentrank,4,1677,0.02101710970339234
contentrank,4,3336,0.0
contentrank,4,35774,0.1149618754055808
contentrank,4,2522,0
contentrank,5,694,0.0
contentrank,5,13554,0
contentrank,5,418,0.058980311237210904
contentrank,5,1677,0.009179964265910912
contentrank,5,3336,0.0
contentrank,5,35774,0.06852124624764604
contentrank,5,2522,0
contentrank,6,694,0.0
contentrank,6,13554,0
contentrank,6,418,0.05207100591715976
contentrank,6,1677,0.004118560529336304
contentrank,6,3336,0
contentrank,6,35774,0.05165643963216671
contentrank,6,2522,0
contentrank,7,694,0.0
contentrank,7,13554,0
contentrank,7,418,0.03478161706009807
contentrank,7,1677,0.016992625841615903
contentrank,7,3336,0
contentrank,7,35774,0.034059831210885724
contentrank,7,2522,0
contentrank,8,694,0.0
contentrank,8,13554,0
contentrank,8,418,0.027807486631016044
contentrank,8,1677,0.01603395425607168
contentrank,8,3336,0.0
contentrank,8,35774,0.06316128049296608
contentrank,8,2522,0
